Player,Projection,Pos,Rank,pos_rank,Cluster
Patrick Mahomes II,436.51,QB,13.0,1.0,1
Josh Allen,432.535,QB,19.0,1.0,1
Jalen Hurts,422.31999999999994,QB,22.0,1.0,1
Lamar Jackson,392.31000000000006,QB,32.0,1.0,1
Joe Burrow,401.61499999999995,QB,35.0,1.0,1
Justin Fields,366.70500000000004,QB,45.0,1.0,2
Justin Herbert,371.71,QB,41.0,1.0,2
Deshaun Watson,354.00000000000006,QB,81.0,1.0,2
Dak Prescott,349.66999999999996,QB,83.0,1.0,2
Kirk Cousins,350.90999999999997,QB,104.0,1.0,2
Trevor Lawrence,351.8549999999999,QB,56.0,1.0,2
Daniel Jones,343.28999999999996,QB,112.0,1.0,2
Geno Smith,343.40500000000003,QB,117.0,1.0,2
Aaron Rodgers,329.03,QB,99.0,1.0,3
Russell Wilson,324.495,QB,139.0,1.0,3
Tua Tagovailoa,327.09999999999997,QB,93.0,1.0,3
Jared Goff,329.055,QB,131.0,1.0,3
Anthony Richardson,310.14,QB,105.0,1.0,4
Derek Carr,301.005,QB,148.0,1.0,4
Kenny Pickett,289.07500000000005,QB,155.0,1.0,4
Jordan Love,296.85,QB,164.0,1.0,4
Brock Purdy,288.09000000000003,QB,158.0,1.0,4
Matthew Stafford,293.34000000000003,QB,173.0,1.0,4
Bryce Young,279.06500000000005,QB,172.0,1.0,5
Jimmy Garoppolo,275.52000000000004,QB,199.0,1.0,5
Mac Jones,272.59,QB,233.0,1.0,5
C.J. Stroud,266.44000000000005,QB,196.0,1.0,5
Sam Howell,262.96999999999997,QB,185.0,1.0,5
Ryan Tannehill,260.03999999999996,QB,228.0,1.0,5
Kyler Murray,242.15499999999997,QB,190.0,1.0,5
Baker Mayfield,238.365,QB,232.0,1.0,5
Desmond Ridder,235.98,QB,236.0,1.0,5
Joshua Dobbs,103.84500000000001,QB,251.0,1.0,6
Taylor Heinicke,53.58500000000001,QB,315.0,1.0,7
Mike White,39.055,QB,253.0,1.0,7
Clayton Tune,32.295,QB,323.0,1.0,7
Marcus Mariota,27.800000000000004,QB,309.0,1.0,7
Teddy Bridgewater,23.03,QB,318.0,1.0,7
Malik Cunningham,1.120000000000001,QB,306.0,1.0,7
Christian McCaffrey,273.62,RB,1.0,1.0,1
Austin Ekeler,271.16,RB,3.0,1.0,1
Nick Chubb,242.89000000000001,RB,8.0,1.0,1
Derrick Henry,245.81000000000003,RB,17.0,1.0,1
Tony Pollard,242.78,RB,16.0,1.0,1
Josh Jacobs,237.62000000000003,RB,15.0,1.0,1
Bijan Robinson,239.83,RB,7.0,1.0,1
Saquon Barkley,239.60000000000002,RB,9.0,1.0,1
