Player,Projection,Pos,Rank,pos_rank,Team,Cluster
Dallas Cowboys,118.9,DST,164.0,1.0,DST,1
Baltimore Ravens,117.4,DST,165.0,2.0,DST,1
New York Jets,115.4,DST,156.0,3.0,DST,2
Houston Texans,112.4,DST,227.0,4.5,DST,3
Philadelphia Eagles,112.4,DST,221.0,4.5,DST,3
Kansas City Chiefs,111.7,DST,217.0,6.0,DST,3
Pittsburgh Steelers,111.4,DST,197.0,7.0,DST,3
Cleveland Browns,110.3,DST,186.0,8.0,DST,4
San Francisco 49ers,110.2,DST,158.0,9.0,DST,4
Buffalo Bills,109.1,DST,212.0,11.0,DST,4
Miami Dolphins,109.1,DST,203.0,11.0,DST,4
Indianapolis Colts,109.1,DST,278.0,11.0,DST,4
Younghoe Koo,146.9,K,175.0,1.0,ATL,1
Justin Tucker,141.3,K,136.0,2.0,BAL,2
Harrison Butker,138.7,K,142.0,3.0,KC,2
Brandon Aubrey,138.5,K,130.0,4.0,DAL,2
Jake Elliott,135.5,K,168.0,5.0,PHI,3
Jason Myers,133.5,K,209.0,6.0,SEA,3
Ka'imi Fairbairn,131.9,K,162.0,7.0,HOU,3
Cameron Dicker,131.4,K,195.0,8.0,LAC,3
Greg Zuerlein,129.6,K,287.0,9.0,NYJ,4
Evan McPherson,128.7,K,188.0,10.0,CIN,4
Tyler Bass,128.5,K,201.0,11.0,BUF,4
Cairo Santos,128.1,K,285.0,12.0,CHI,4
Josh Allen,409.3,QB,22.0,1.0,BUF,1
Jalen Hurts,406.2,QB,29.0,2.0,PHI,1
Patrick Mahomes II,386.6,QB,31.0,3.0,KC,2
Lamar Jackson,383.76,QB,41.0,4.0,BAL,2
C.J. Stroud,357.08,QB,50.0,5.0,HOU,3
Anthony Richardson,355.76,QB,52.0,6.0,IND,3
Dak Prescott,354.84,QB,78.0,7.0,DAL,3
Joe Burrow,353.14,QB,63.0,8.0,CIN,3
Kyler Murray,344.78,QB,69.0,9.0,ARI,4
Jordan Love,339.94,QB,74.0,10.0,GB,4
Brock Purdy,339.22,QB,98.0,11.0,SF,4
Trevor Lawrence,335.5,QB,120.0,12.0,JAC,4
Jayden Daniels,334.44,QB,101.0,13.0,WAS,4
Caleb Williams,332.8,QB,97.0,14.0,CHI,4
Jared Goff,325.54,QB,107.0,15.0,DET,5
Deshaun Watson,323.37,QB,161.0,16.0,CLE,5
Justin Herbert,322.94,QB,124.0,17.0,LAC,5
Tua Tagovailoa,322.69,QB,109.0,18.0,MIA,5
Kirk Cousins,316.69,QB,135.0,19.0,ATL,6
Baker Mayfield,313.43,QB,152.0,20.0,TB,6
Matthew Stafford,311.21,QB,145.0,21.0,LAR,6
Aaron Rodgers,306.6,QB,138.0,22.0,NYJ,6
Geno Smith,302.81,QB,177.0,23.0,SEA,6
Will Levis,294.17,QB,174.0,24.0,TEN,7
Derek Carr,289.36,QB,198.0,25.0,NO,7
Sam Darnold,289.26,QB,206.0,26.0,MIN,7
Daniel Jones,284.94,QB,202.0,27.0,NYG,7
Bryce Young,268.3,QB,193.0,28.0,CAR,8
Bo Nix,266.92,QB,187.0,29.0,DEN,8
Russell Wilson,254.11,QB,211.0,30.0,PIT,9
Drake Maye,217.45,QB,204.0,31.0,NE,10
Gardner Minshew II,215.74,QB,223.0,32.0,LV,10
Christian McCaffrey,319.14,RB,1.0,1.0,SF,1
Breece Hall,270.7,RB,5.0,2.0,NYJ,2
Bijan Robinson,267.69,RB,6.0,3.0,ATL,2
Saquon Barkley,244.89,RB,10.0,4.0,PHI,2
Jonathan Taylor,243.64,RB,11.0,5.0,IND,2
Kyren Williams,231.71,RB,17.0,6.0,LAR,3
Jahmyr Gibbs,223.96,RB,12.0,7.0,DET,3
Derrick Henry,223.74,RB,18.0,8.0,BAL,3
Travis Etienne Jr.,217.75,RB,16.0,9.0,JAC,3
Isiah Pacheco,217.44,RB,24.0,10.0,KC,3
James Cook,213.67,RB,33.0,11.0,BUF,3
Rachaad White,212.99,RB,32.0,12.0,TB,3
De'Von Achane,209.45,RB,20.0,13.0,MIA,3
Josh Jacobs,207.83,RB,23.0,14.0,GB,3
Alvin Kamara,207.79,RB,45.0,15.0,NO,3
Joe Mixon,205.38,RB,44.0,16.0,HOU,3
