"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"1","Christian McCaffrey","SF","9","RB1","","1","2","1.5"
"2","Justin Jefferson","MIN","13","WR1","","2","1","1.5"
"3","Austin Ekeler","LAC","5","RB2","","3","4","3.5"
"4","Ja'Marr Chase","CIN","7","WR2","","7","3","5.0"
"5","Travis Kelce","KC","10","TE1","","4","6","5.0"
"6","Tyreek Hill","MIA","10","WR3","","8","5","6.5"
"7","Bijan Robinson","ATL","11","RB3","","5","9","7.0"
"8","Nick Chubb","CLE","5","RB4","","6","10","8.0"
"9","Saquon Barkley","NYG","13","RB5","","9","7","8.0"
"10","Cooper Kupp","LAR","10","WR4","","10","8","9.0"
"11","Stefon Diggs","BUF","13","WR5","","11","12","11.5"
"12","CeeDee Lamb","DAL","7","WR6","","15","11","13.0"
"13","Patrick Mahomes II","KC","10","QB1","","13","17","15.0"
"14","A.J. Brown","PHI","10","WR7","","14","16","15.0"
"15","Josh Jacobs","LV","13","RB6","","17","14","15.5"
"16","Tony Pollard","DAL","7","RB7","","19","13","16.0"
"17","Derrick Henry","TEN","7","RB8","","12","21","16.5"
"18","Davante Adams","LV","13","WR8","","16","20","18.0"
"19","Josh Allen","BUF","13","QB2","","18","18","18.0"
"20","Amon-Ra St. Brown","DET","9","WR9","","20","19","19.5"
"21","Garrett Wilson","NYJ","7","WR10","","25","15","20.0"
"22","Jalen Hurts","PHI","10","QB3","","22","22","22.0"
"23","Jaylen Waddle","MIA","10","WR11","","23","23","23.0"
"24","Najee Harris","PIT","6","RB9","","24","25","24.5"
"25","Chris Olave","NO","11","WR12","","28","24","26.0"
"26","Travis Etienne Jr.","JAC","9","RB10","","27","28","27.5"
"27","Mark Andrews","BAL","13","TE2","","26","30","28.0"
"28","Rhamondre Stevenson","NE","11","RB11","","29","27","28.0"
"29","DeVonta Smith","PHI","10","WR13","","35","26","30.5"
"30","Jahmyr Gibbs","DET","9","RB12","","33","31","32.0"
"31","Joe Mixon","CIN","7","RB13","","32","32","32.0"
"32","Lamar Jackson","BAL","13","QB4","","30","36","33.0"
"33","Tee Higgins","CIN","7","WR14","","31","35","33.0"
"34","Calvin Ridley","JAC","9","WR15","","41","29","35.0"
"35","Joe Burrow","CIN","7","QB5","","36","34","35.0"
"36","DK Metcalf","SEA","5","WR16","","34","37","35.5"
"37","Deebo Samuel","SF","9","WR17","","37","40","38.5"
"38","Kenneth Walker III","SEA","5","RB14","","40","38","39.0"
"39","Dameon Pierce","HOU","7","RB15","","46","33","39.5"
"40","Aaron Jones","GB","6","RB16","","38","42","40.0"
"41","Justin Herbert","LAC","5","QB6","","42","39","40.5"
"42","Jonathan Taylor","IND","11","RB17","","21","62","41.5"
"43","Amari Cooper","CLE","5","WR18","","45","41","43.0"
"44","Keenan Allen","LAC","5","WR19","","43","43","43.0"
"45","Justin Fields","CHI","13","QB7","","47","44","45.5"
"46","T.J. Hockenson","MIN","13","TE3","","48","45","46.5"
"47","Breece Hall","NYJ","7","RB18","","39","56","47.5"
"48","J.K. Dobbins","BAL","13","RB19","","49","46","47.5"
"49","Miles Sanders","CAR","7","RB20","","50","48","49.0"
"50","Alexander Mattison","MIN","13","RB21","","55","47","51.0"
"51","DJ Moore","CHI","13","WR20","","52","50","51.0"
"52","George Kittle","SF","9","TE4","","44","60","52.0"
"53","Darren Waller","NYG","13","TE5","","56","51","53.5"
"54","DeAndre Hopkins","TEN","7","WR21","","51","58","54.5"
"55","Terry McLaurin","WAS","14","WR22","","53","57","55.0"
"56","Trevor Lawrence","JAC","9","QB8","","57","53","55.0"
"57","Cam Akers","LAR","10","RB22","","54","61","57.5"
"58","Christian Watson","GB","6","WR23","","62","55","58.5"
"59","Javonte Williams","DEN","9","RB23","","68","52","60.0"
"60","James Conner","ARI","14","RB24","","59","65","62.0"
"61","James Cook","BUF","13","RB25","","77","49","63.0"
