"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Dallas Cowboys","","50.2","14.2","10.9","16.7","3.1","0.0","347.0","5,444.1","118.9"
"Baltimore Ravens","","51.1","14.2","11.0","16.6","2.7","0.0","323.9","5,262.8","117.4"
"New York Jets","","48.1","14.5","9.7","15.5","2.8","1.0","339.6","5,157.8","115.4"
"Houston Texans","","49.3","13.3","10.7","15.2","2.4","0.5","393.0","5,703.9","112.4"
"Philadelphia Eagles","","51.0","13.1","10.2","15.2","2.5","0.0","382.2","5,580.7","112.4"
"Kansas City Chiefs","","50.2","12.1","10.0","15.8","2.7","0.5","337.9","5,282.7","111.7"
"Pittsburgh Steelers","","48.5","13.6","9.8","16.1","2.7","0.0","351.9","5,616.0","111.4"
"Cleveland Browns","","47.4","13.4","9.2","14.4","2.9","0.0","357.9","5,222.5","110.3"
"San Francisco 49ers","","44.0","15.1","9.4","13.9","2.7","0.5","327.2","5,503.0","110.2"
"Buffalo Bills","","45.9","13.4","10.7","17.8","2.4","0.5","349.1","5,612.9","109.1"
"Miami Dolphins","","47.9","12.4","10.4","17.6","2.5","0.5","376.6","5,504.6","109.1"
"Indianapolis Colts","","49.0","12.4","9.9","15.8","2.4","0.5","409.0","5,694.1","109.1"
"Cincinnati Bengals","","46.5","13.0","10.0","15.6","2.4","0.0","365.8","5,766.6","107.1"
"Los Angeles Chargers","","46.2","11.5","10.6","18.0","2.4","0.5","385.2","5,716.1","105.6"
"Washington Commanders","","48.7","11.5","9.9","16.3","2.1","0.5","431.0","5,741.7","105.3"
"Jacksonville Jaguars","","41.1","13.0","10.9","16.3","2.7","0.0","383.9","5,645.9","105.0"
"Green Bay Packers","","43.9","13.4","9.2","14.7","2.5","0.5","381.6","5,797.8","104.8"
"New York Giants","","41.7","12.4","11.4","19.5","2.5","0.0","398.4","5,811.3","104.1"
"New Orleans Saints","","41.8","13.3","10.0","14.4","2.5","0.0","362.0","5,535.2","103.7"
"Seattle Seahawks","","45.1","12.6","9.5","14.5","2.2","0.5","396.7","5,841.1","103.1"
"Tampa Bay Buccaneers","","45.3","11.5","10.1","18.4","2.4","0.0","372.1","5,670.7","102.9"
"Las Vegas Raiders","","44.8","11.3","9.5","15.2","2.6","0.5","387.0","5,640.6","102.8"
"Minnesota Vikings","","43.7","12.3","9.6","17.2","2.4","0.0","404.7","5,648.7","101.9"
"Denver Broncos","","41.9","11.2","11.1","18.7","2.4","0.5","406.8","5,963.0","101.7"
"Atlanta Falcons","","44.7","12.2","9.0","13.8","2.2","0.5","376.6","5,374.0","101.4"
"Detroit Lions","","40.9","13.4","9.1","12.7","2.2","0.5","401.3","5,830.4","100.3"
"Chicago Bears","","37.3","14.7","8.9","13.2","2.3","0.5","376.6","5,540.2","99.1"
"Los Angeles Rams","","41.1","13.0","8.2","12.0","2.2","0.5","406.5","5,851.9","97.5"
"Tennessee Titans","","42.5","11.1","9.2","12.8","2.1","0.0","393.3","5,709.8","95.6"
"New England Patriots","","36.0","12.4","9.5","14.0","2.4","0.0","405.8","5,667.1","94.4"
"Arizona Cardinals","","38.8","11.9","8.8","13.2","2.3","0.0","426.9","6,032.0","94.0"
"Carolina Panthers","","36.9","11.6","8.3","11.2","2.3","0.0","403.1","5,555.7","90.1"
""
""
