"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","273.0","1,290.4","11.6","69.9","567.5","4.8","1.7","281.1"
"Breece Hall","NYJ","249.2","1,129.3","8.1","66.8","529.7","3.8","1.4","234.6"
"Bijan Robinson","ATL","243.9","1,112.8","7.4","65.5","534.6","4.3","2.2","230.4"
"Jonathan Taylor","IND","283.3","1,269.5","10.1","37.2","278.9","1.6","1.4","222.2"
"Saquon Barkley","PHI","269.3","1,138.6","9.1","48.0","344.3","3.0","1.7","217.4"
"Kyren Williams","LAR","254.5","1,148.3","10.2","35.5","259.3","2.0","1.7","210.6"
"Derrick Henry","BAL","266.6","1,193.9","11.2","24.4","195.5","0.9","1.0","209.1"
"Isiah Pacheco","KC","238.6","1,065.7","8.5","41.0","273.7","2.0","1.4","194.1"
"Jahmyr Gibbs","DET","202.5","940.7","8.4","54.6","389.9","2.2","1.4","193.9"
"Travis Etienne Jr.","JAC","250.0","1,024.9","8.2","46.1","358.1","1.2","1.3","192.0"
"James Cook","BUF","236.2","1,049.3","5.2","45.0","382.4","2.8","1.4","188.5"
"Josh Jacobs","GB","249.6","1,034.9","8.2","38.5","292.9","1.1","1.0","186.8"
"De'Von Achane","MIA","175.1","907.4","7.3","45.5","347.6","2.9","0.9","184.4"
"Joe Mixon","HOU","244.8","962.0","7.6","40.0","303.8","2.2","0.9","183.2"
"Rachaad White","TB","238.9","925.0","6.5","53.5","403.4","2.4","1.7","183.1"
"Kenneth Walker III","SEA","240.3","1,004.0","8.9","29.1","225.0","1.0","0.9","180.8"
"Alvin Kamara","NO","203.4","798.2","5.2","68.7","486.2","2.3","0.9","172.0"
"David Montgomery","DET","202.7","892.7","9.8","22.4","168.0","0.8","0.9","168.0"
"Aaron Jones","MIN","186.1","857.8","5.4","43.2","317.4","2.0","1.0","159.7"
"Zamir White","LV","235.0","987.6","5.7","32.9","230.2","0.8","1.3","158.3"
"Najee Harris","PIT","236.9","947.9","6.6","29.0","182.9","1.2","1.0","157.6"
"James Conner","ARI","201.7","883.5","6.7","32.6","222.6","1.4","0.9","157.3"
"Raheem Mostert","MIA","168.7","804.3","8.5","25.0","175.5","1.3","1.0","154.6"
"Rhamondre Stevenson","NE","213.0","883.7","5.7","41.8","285.9","0.8","1.0","154.4"
"D'Andre Swift","CHI","178.3","810.3","5.2","36.1","248.5","1.6","1.0","144.4"
"Tony Pollard","TEN","190.2","821.6","5.6","33.9","234.0","0.8","0.9","142.4"
"Brian Robinson Jr.","WAS","185.4","776.7","5.3","28.7","242.2","1.8","1.5","141.5"
"Javonte Williams","DEN","198.3","815.7","4.6","40.2","241.8","1.5","0.9","140.6"
"Devin Singletary","NYG","196.2","847.3","5.0","33.0","213.4","0.7","1.0","137.9"
"Zack Moss","CIN","169.5","734.4","5.8","28.7","199.0","1.4","0.5","135.5"
"Gus Edwards","LAC","183.7","786.2","7.0","15.2","132.0","0.4","1.3","133.5"
"Jaylen Warren","PIT","141.3","681.6","3.9","48.3","330.2","1.7","1.4","132.2"
"Ezekiel Elliott","DAL","172.7","670.8","5.7","29.4","195.8","1.3","1.0","127.1"
"Chase Brown","CIN","141.1","613.4","4.0","37.3","304.6","1.9","0.6","125.9"
"Nick Chubb","CLE","160.1","765.8","5.4","18.5","146.3","0.6","0.9","125.7"
"Tyjae Spears","TEN","142.8","624.2","3.6","43.3","337.4","1.5","0.9","125.1"
"Austin Ekeler","WAS","125.6","521.3","4.1","46.7","371.8","2.0","1.7","122.9"
"Jonathon Brooks","CAR","161.2","701.3","4.6","23.7","182.3","0.9","1.6","118.3"
"Jerome Ford","CLE","147.8","595.9","3.6","31.8","225.8","1.8","0.8","113.2"
"J.K. Dobbins","LAC","134.0","565.8","3.9","23.9","180.2","1.5","0.9","105.1"
"Ty Chandler","MIN","145.8","595.9","4.3","20.6","151.6","0.6","0.8","102.9"
"Tyler Allgeier","ATL","134.4","555.2","3.8","21.3","169.2","1.2","0.8","100.9"
"Rico Dowdle","DAL","138.5","538.6","3.5","22.7","173.6","1.2","0.4","98.9"
"Chuba Hubbard","CAR","141.5","568.0","3.7","25.6","177.4","0.5","0.9","97.8"
"Blake Corum","LAR","130.6","548.7","4.2","19.3","149.8","0.8","1.5","96.6"
"Khalil Herbert","CHI","147.8","596.9","3.4","16.6","114.6","0.9","0.8","94.9"
"Trey Benson","ARI","130.8","567.3","3.9","17.9","131.1","0.8","1.5","94.9"
"Zach Charbonnet","SEA","115.3","498.7","3.0","32.8","222.3","0.8","0.8","93.5"
"Antonio Gibson","NE","115.8","441.9","2.3","37.9","284.6","1.2","1.4","91.0"
"Jaleel McLaughlin","DEN","98.2","473.4","2.6","28.3","183.3","1.0","0.8","85.5"
"MarShawn Lloyd","GB","102.3","405.4","3.2","16.4","130.7","1.0","1.1","76.5"
"Alexander Mattison","LV","113.7","420.6","2.6","14.5","96.6","1.0","0.9","71.4"
"Braelon Allen","NYJ","99.9","397.1","2.9","11.1","86.1","0.7","0.8","68.5"
"Bucky Irving","TB","100.6","380.8","2.6","15.9","128.4","0.8","1.5","68.0"
"Ray Davis","BUF","85.1","368.0","2.8","16.1","132.2","0.6","1.2","67.9"
"Jamaal Williams","NO","107.5","400.5","2.9","16.1","91.4","0.2","0.5","67.0"
"Kendre Miller","NO","74.5","316.5","2.3","18.3","153.4","0.9","0.8","65.1"
"Clyde Edwards-Helaire","KC","76.0","297.7","1.9","19.4","164.7","1.3","0.5","64.4"
"Tyrone Tracy Jr.","NYG","92.4","365.6","2.4","14.2","104.6","0.7","1.1","63.7"
"Elijah Mitchell","SF","94.9","391.6","3.1","9.2","59.4","0.2","0.7","63.3"
"Miles Sanders","CAR","103.5","372.7","1.8","16.2","100.7","0.2","1.2","56.7"
"Tank Bigsby","JAC","101.5","331.9","3.4","8.2","56.5","0.2","2.2","55.9"
"D'Onta Foreman","CLE","71.1","298.5","2.3","8.5","68.4","0.6","0.1","54.0"
"Jaylen Wright","MIA","57.8","266.7","2.2","12.0","99.5","0.7","0.8","52.8"
"Roschon Johnson","CHI","67.7","265.3","2.0","17.1","114.9","0.4","0.8","51.3"
"Dameon Pierce","HOU","72.7","306.0","2.2","9.9","72.5","0.2","0.5","50.7"
"Keaton Mitchell","BAL","63.3","297.8","2.0","10.5","85.4","0.3","0.7","50.4"
"Kenneth Gainwell","PHI","62.1","245.7","1.8","16.7","117.5","0.4","1.2","47.4"
"AJ Dillon","GB","64.0","261.3","2.0","10.5","89.9","0.1","0.4","47.0"
"Kimani Vidal","LAC","49.8","255.4","1.7","13.4","93.8","0.3","0.1","46.9"
"Justice Hill","BAL","57.8","231.1","1.6","14.1","104.0","0.5","0.8","44.2"
"Audric Estime","DEN","57.0","240.7","1.6","8.7","64.1","0.4","1.1","40.2"
"Eric Gray","NYG","39.6","206.9","1.4","10.8","73.7","0.2","0.1","37.6"
"Carson Steele","KC","42.8","160.1","1.2","12.8","110.6","0.4","0.4","36.1"
"Will Shipley","PHI","36.3","191.1","1.6","6.4","48.2","0.4","0.0","35.4"
"Trey Sermon","IND","44.5","228.7","1.2","6.5","44.5","0.1","0.1","35.1"
"Ty Johnson","BUF","35.8","154.3","1.0","11.2","93.6","0.6","0.2","34.2"
"Chase Edmonds","TB","49.2","178.4","1.1","12.6","87.7","0.1","0.1","33.7"
"Isaiah Davis","NYJ","65.5","193.8","1.4","6.5","47.1","0.2","0.1","33.3"
"Emari Demercado","ARI","31.9","141.5","1.1","16.2","107.1","0.4","0.5","33.2"
"Samaje Perine","DEN","24.6","122.6","0.7","16.1","114.8","0.5","0.2","31.0"
"Jordan Mason","SF","33.1","183.0","1.6","4.2","29.1","0.1","0.0","31.0"
"Royce Freeman","DAL","56.5","169.8","1.3","5.9","40.0","0.2","0.1","30.0"
"Dylan Laube","LV","26.4","157.9","1.1","9.1","64.9","0.1","0.1","29.7"
"Cordarrelle Patterson","PIT","33.5","144.1","1.0","9.2","70.5","0.3","0.1","29.4"
"Isaac Guerendo","SF","29.9","167.4","1.3","5.2","43.0","0.1","0.0","29.2"
"Kendall Milton","PHI","34.0","145.0","2.0","2.0","25.0","0.0","0.0","29.0"
"Evan Hull","IND","34.0","150.4","1.0","7.2","53.0","0.4","0.1","28.5"
"Jase McClellan","ATL","31.2","129.2","1.0","5.4","43.7","0.4","0.0","25.5"
"Rasheen Ali","BAL","26.4","149.0","1.2","3.9","31.0","0.1","0.0","25.2"
"Deneric Prince","KC","16.7","136.7","1.0","5.5","40.6","0.1","0.0","24.1"
"Deuce Vaughn","DAL","25.0","105.2","0.9","8.4","63.0","0.4","0.4","23.9"
"Chris Rodriguez Jr.","WAS","14.7","120.4","0.9","7.0","49.8","0.2","0.1","23.3"
"Kyle Juszczyk","SF","5.6","20.2","0.1","14.2","136.7","1.1","0.0","22.8"
"Cam Akers","HOU","31.6","132.6","0.9","3.9","29.6","0.2","0.0","22.4"
"Jawhar Jordan","HOU","0.0","134.0","1.0","4.0","30.0","0.0","0.0","22.4"
"Michael Carter","ARI","25.9","114.0","0.8","8.3","54.2","0.1","0.1","22.1"
"Ameer Abdullah","LV","26.7","102.6","0.2","10.7","78.4","0.1","0.0","20.1"
"Blake Watson","DEN","0.0","108.0","1.0","4.0","29.0","0.0","0.0","19.7"
"Nyheim Hines","CLE","22.9","71.1","0.5","10.8","80.9","0.2","0.1","19.6"
"D'Ernest Johnson","JAC","31.8","113.8","0.5","5.5","39.2","0.1","0.1","19.0"
"Ronnie Rivers","LAR","27.2","109.4","0.7","4.6","33.3","0.1","0.0","18.9"
"Craig Reynolds","DET","21.6","102.3","0.8","4.1","33.4","0.1","0.1","18.6"
"Kevin Harris","NE","5.9","99.6","0.8","4.6","34.0","0.0","0.0","18.1"
"Nick Bawden","HOU","5.4","17.6","2.1","2.5","21.0","0.1","0.0","16.8"
"Hunter Luepke","DAL","8.7","31.2","1.4","5.7","39.4","0.2","0.0","16.6"
"Pierre Strong Jr.","CLE","19.2","103.1","0.7","2.7","19.9","0.0","0.0","16.5"
"Trayveon Williams","CIN","26.2","89.3","0.6","4.8","31.3","0.1","0.1","16.0"
"Jeff Wilson Jr.","MIA","16.7","89.7","0.7","3.0","21.7","0.1","0.0","15.8"
"Tyler Goodson","IND","13.7","83.3","0.7","4.0","28.5","0.0","0.0","15.4"
"Jeremy McNichols","WAS","14.1","56.8","0.0","8.0","65.0","0.5","0.0","15.4"
"Kenny McIntosh","SEA","27.6","82.4","0.4","5.1","36.4","0.2","0.1","15.2"
"Jordan Mims","NO","0.0","68.0","1.0","3.0","18.0","0.0","0.0","14.6"
"Dare Ogunbowale","HOU","16.7","60.4","0.2","8.1","59.4","0.2","0.1","14.2"
"Emani Bailey","KC","29.0","87.5","0.5","2.5","23.0","0.0","0.0","14.1"
"Emanuel Wilson","GB","2.2","70.5","0.5","4.1","29.9","0.1","0.0","13.5"
"Julius Chestnut","TEN","14.9","62.3","0.4","5.3","37.7","0.2","0.2","13.1"
"Cody Schrader","SF","33.0","84.5","0.5","1.5","14.5","0.0","0.0","12.9"
"Jaret Patterson","LAC","16.7","71.0","0.4","4.0","27.6","0.1","0.1","12.7"
"Carlos Washington Jr.","ATL","0.0","37.0","1.0","4.0","22.0","0.0","0.0","11.9"
"Israel Abanikanda","NYJ","17.2","63.8","0.3","2.7","19.0","0.1","0.1","10.8"
"JaMycal Hasty","NE","15.5","51.6","0.2","4.5","31.5","0.1","0.1","10.4"
