"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","89.5","966.6","7.5","0.8","140.9"
"Sam LaPorta","DET","86.3","893.7","7.7","0.4","134.9"
"Mark Andrews","BAL","71.9","869.8","7.9","0.5","133.4"
"George Kittle","SF","65.4","881.4","6.0","0.4","123.4"
"Kyle Pitts","ATL","67.8","875.5","5.2","0.4","117.7"
"Trey McBride","ARI","86.0","881.7","5.1","0.5","117.5"
"Dalton Kincaid","BUF","82.9","828.4","5.4","0.8","113.6"
"Jake Ferguson","DAL","70.7","736.1","5.9","0.4","108.1"
"David Njoku","CLE","69.9","771.8","5.4","1.2","107.4"
"Evan Engram","JAC","85.4","787.0","4.4","0.9","103.0"
"Brock Bowers","LV","62.8","696.7","4.6","1.1","95.1"
"Dallas Goedert","PHI","65.4","690.7","4.0","0.5","92.2"
"Dalton Schultz","HOU","56.9","606.6","4.9","0.8","88.2"
"Pat Freiermuth","PIT","55.7","582.7","4.2","0.5","82.7"
"Taysom Hill","NO","27.5","261.5","2.0","0.3","81.6"
"T.J. Hockenson","MIN","59.7","595.1","3.3","0.8","77.8"
"Hunter Henry","NE","47.7","494.0","4.2","0.1","74.6"
"Cole Kmet","CHI","50.1","495.4","4.1","0.4","73.5"
"Tyler Conklin","NYJ","53.3","532.0","3.3","0.1","73.0"
"Cade Otton","TB","49.2","489.4","3.7","0.4","70.5"
"Luke Musgrave","GB","46.7","489.4","3.4","0.1","69.1"
"Juwan Johnson","NO","40.4","441.2","4.1","0.1","68.8"
"Chigoziem Okonkwo","TEN","48.2","513.5","2.7","0.4","66.7"
"Noah Fant","SEA","45.9","489.8","2.8","0.1","65.4"
"Isaiah Likely","BAL","34.2","411.5","3.9","0.1","64.4"
"Jonnu Smith","MIA","37.8","415.2","2.9","0.4","57.8"
"Hayden Hurst","LAC","40.5","390.7","2.9","0.1","56.0"
"Mike Gesicki","CIN","36.4","356.8","3.1","0.1","54.4"
"Ben Sinnott","WAS","36.8","375.8","2.4","0.4","51.3"
"Zach Ertz","WAS","37.9","350.7","2.7","0.1","50.9"
"Tucker Kraft","GB","33.9","354.2","2.6","0.1","50.7"
"Dawson Knox","BUF","28.3","297.4","3.3","0.1","49.3"
"Greg Dulcich","DEN","33.8","375.3","1.9","0.1","49.0"
"Tyler Higbee","LAR","33.9","347.5","2.1","0.1","47.2"
"Colby Parkinson","LAR","29.7","314.2","2.5","0.1","46.0"
"Gerald Everett","CHI","32.9","305.7","2.6","0.1","45.9"
"Ja'Tavion Sanders","CAR","29.9","311.2","2.3","0.4","44.2"
"Michael Mayer","LV","29.6","317.4","2.0","0.1","43.6"
"Daniel Bellinger","NYG","32.7","311.7","1.9","0.1","42.7"
"Theo Johnson","NYG","32.3","312.8","2.0","0.6","42.1"
"Kylen Granson","IND","28.4","307.3","1.9","0.1","41.9"
"Tommy Tremble","CAR","27.5","261.4","2.5","0.1","40.7"
"Noah Gray","KC","22.6","237.1","1.7","0.1","34.0"
"Will Dissly","LAC","23.3","225.7","1.5","0.1","31.4"
"Mo Alie-Cox","IND","16.5","185.4","2.0","0.0","30.4"
"Donald Parham Jr.","LAC","15.1","158.3","2.1","0.0","28.3"
"Brevin Jordan","HOU","14.2","179.2","1.7","0.0","27.9"
"Durham Smythe","MIA","20.0","194.8","1.3","0.0","27.3"
"Robert Tonyan","MIN","20.1","189.8","1.4","0.0","27.2"
"Jelani Woods","IND","14.7","187.5","1.4","0.0","27.1"
"Jaheim Bell","NE","16.5","172.0","1.5","0.0","26.2"
"Adam Trautman","DEN","17.3","167.6","1.5","0.0","25.9"
"Tanner Hudson","CIN","18.2","175.4","1.4","0.0","25.9"
"Jeremy Ruckert","NYJ","17.5","173.5","1.2","0.1","24.6"
"Brock Wright","DET","15.7","149.5","1.5","0.1","24.0"
"Austin Hooper","NE","19.6","185.3","0.9","0.0","24.0"
"Elijah Higgins","ARI","16.3","177.7","1.0","0.0","23.6"
"Darnell Washington","PIT","16.5","162.2","1.1","0.0","22.9"
"Josh Oliver","MIN","16.1","156.6","1.2","0.4","22.2"
"Johnny Mundt","MIN","16.7","160.7","0.8","0.0","21.0"
"Logan Thomas","SF","14.0","143.0","1.0","0.0","20.3"
"Foster Moreau","NO","12.5","139.0","1.0","0.0","20.0"
"Davis Allen","LAR","13.1","134.5","1.0","0.0","19.5"
"Josh Whyle","TEN","12.5","127.9","1.1","0.0","19.2"
"Pharaoh Brown","SEA","12.0","131.9","0.9","0.0","18.7"
"Will Mallory","IND","12.9","135.1","0.9","0.0","18.5"
"Devin Culp","TB","12.0","124.0","1.0","0.0","18.4"
"Tanner McLachlan","CIN","12.0","123.0","1.0","0.0","18.3"
"Brayden Willis","SF","10.0","121.0","1.0","0.0","18.1"
"Connor Heyward","PIT","15.3","137.6","0.7","0.0","18.1"
"John FitzPatrick","ATL","10.0","117.0","1.0","0.0","17.7"
"Luke Schoonmaker","DAL","10.8","110.9","1.1","0.0","17.5"
"AJ Barner","SEA","11.6","118.5","0.9","0.0","17.2"
"Cameron Latu","SF","11.5","104.5","1.0","0.0","16.5"
"Travis Vokolek","ARI","11.0","102.0","1.0","0.0","16.2"
"Ian Thomas","CAR","12.6","128.7","0.6","0.0","16.2"
"Irv Smith Jr.","KC","11.4","102.9","1.0","0.0","16.2"
"Drew Ogletree","IND","9.0","113.6","0.8","0.0","16.0"
"Stone Smartt","LAC","9.5","108.8","0.8","0.0","15.8"
"Brenton Strange","JAC","9.7","92.1","1.0","0.0","15.2"
"Cade Stover","HOU","9.9","105.7","0.8","0.0","15.2"
"Erick All Jr.","CIN","10.3","103.5","0.8","0.0","15.1"
"Jordan Akins","CLE","10.3","101.4","0.8","0.1","15.0"
"Jared Wiley","KC","9.6","98.5","0.8","0.0","14.6"
"Lucas Krull","DEN","9.6","101.5","0.7","0.0","14.5"
"Dallin Holker","NO","9.3","95.4","0.8","0.0","14.1"
"Drew Sample","CIN","10.5","94.3","0.8","0.0","14.0"
"Payne Durham","TB","9.2","96.7","0.7","0.0","14.0"
"Tip Reiman","ARI","9.8","97.7","0.7","0.0","14.0"
"Quintin Morris","BUF","7.0","74.8","1.1","0.0","13.8"
"MyCole Pruitt","PIT","6.2","67.3","1.1","0.0","13.6"
"James Mitchell","DET","8.0","83.3","0.7","0.0","12.4"
"Ross Dwelley","ATL","6.0","83.7","0.7","0.0","12.3"
"Ben Sims","GB","6.5","56.5","1.1","0.0","12.2"
"Miller Forristall","LAR","7.6","78.6","0.6","0.0","11.6"
"Harrison Bryant","LV","7.7","76.5","0.6","0.0","11.4"
"Armani Rogers","PHI","6.5","76.5","0.6","0.0","11.1"
"Grant Calcaterra","PHI","7.3","74.4","0.6","0.0","11.0"
"Luke Farrell","JAC","7.4","75.0","0.6","0.0","10.8"
"Nick Vannett","TEN","6.3","69.9","0.6","0.0","10.5"
"Cole Turner","WAS","6.0","68.8","0.6","0.0","10.4"
"Eric Saubert","SF","8.5","73.0","0.5","0.0","10.3"
"John Bates","WAS","8.1","76.5","0.4","0.0","10.0"
"Albert Okwuegbunam Jr.","PHI","6.4","62.5","0.6","0.0","9.8"
"Hunter Long","LAR","5.4","55.3","0.6","0.0","9.0"
"Lawrence Cager","NYG","7.6","66.4","0.4","0.0","8.7"
"Josiah Deguara","JAC","7.1","60.9","0.4","0.0","8.6"
"Charlie Kolar","BAL","5.4","58.9","0.4","0.0","8.3"
"Ko Kieft","TB","5.6","56.5","0.5","0.1","8.2"
"Charlie Woerner","ATL","8.1","62.7","0.3","0.0","8.2"
"John Stephens Jr.","DAL","4.0","40.9","0.3","0.0","6.1"
"Kenny Yeboah","NYJ","3.9","37.1","0.3","0.0","5.4"
"Anthony Firkser","NYJ","3.9","37.0","0.3","0.0","5.3"
"Dalton Keene","HOU","2.0","21.2","0.2","0.0","3.1"
"Tre' McKitty","BUF","2.1","20.4","0.2","0.0","3.1"
"Tyler Davis","GB","2.0","19.9","0.2","0.0","3.0"
"Tommy Hudson","NO","2.0","19.6","0.2","0.0","3.0"
"Julian Hill","MIA","2.1","19.2","0.2","0.0","2.9"
"Brady Russell","SEA","2.0","19.0","0.2","0.0","2.9"
"Zack Kuntz","NYJ","1.9","18.3","0.2","0.0","2.8"
"Eric Tomlinson","IND","1.8","17.6","0.2","0.0","2.8"
"Cole Fotheringham","LV","1.7","16.8","0.2","0.0","2.7"
"Rodney Williams","PIT","1.7","15.9","0.2","0.0","2.6"
"Zach Gentry","LV","1.7","15.9","0.2","0.0","2.6"
"Nate Adkins","DEN","1.7","15.8","0.2","0.0","2.5"
"Chris Manhertz","NYG","1.9","16.8","0.1","0.0","2.4"
""
""
