"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"CeeDee Lamb","DAL","116.1","1,487.8","9.7","9.8","68.2","0.8","1.1","216.4"
"Tyreek Hill","MIA","110.1","1,539.4","9.9","5.2","30.5","0.1","1.0","214.9"
"Ja'Marr Chase","CIN","106.7","1,357.7","9.1","3.0","12.6","0.1","0.7","190.7"
"Justin Jefferson","MIN","104.7","1,441.4","7.4","1.2","3.9","0.0","1.0","187.0"
"Amon-Ra St. Brown","DET","111.0","1,354.3","8.2","4.5","31.1","0.1","0.9","186.4"
"A.J. Brown","PHI","92.9","1,318.2","8.2","0.0","1.4","0.0","1.3","178.7"
"Puka Nacua","LAR","94.7","1,297.6","7.2","8.9","54.7","0.2","0.7","177.9"
"Garrett Wilson","NYJ","95.2","1,189.3","8.1","3.9","19.2","0.1","1.3","167.6"
"Deebo Samuel Sr.","SF","67.0","925.9","5.9","33.9","199.4","3.0","1.0","163.8"
"Mike Evans","TB","75.5","1,119.8","8.4","0.0","1.2","0.0","0.5","161.4"
"Nico Collins","HOU","78.4","1,149.5","7.4","1.4","8.6","0.0","0.5","159.4"
"Chris Olave","NO","89.8","1,204.9","6.5","0.0","1.0","0.0","0.6","158.5"
"Marvin Harrison Jr.","ARI","88.3","1,177.1","6.8","0.5","3.6","0.0","1.5","155.9"
"Drake London","ATL","87.8","1,145.6","7.0","0.0","2.2","0.0","0.9","155.0"
"DK Metcalf","SEA","73.7","1,068.7","8.1","0.0","1.2","0.0","0.5","154.5"
"Brandon Aiyuk","SF","74.2","1,117.2","7.1","0.8","4.0","0.0","0.9","153.1"
"Davante Adams","LV","93.1","1,130.0","6.5","0.0","1.0","0.0","0.5","151.0"
"Cooper Kupp","LAR","85.8","1,059.7","7.3","2.9","17.4","0.1","0.5","150.6"
"DeVonta Smith","PHI","84.8","1,082.4","7.1","0.0","1.2","0.0","0.9","149.0"
"Jaylen Waddle","MIA","81.4","1,112.7","5.7","3.6","21.1","0.1","0.5","146.8"
"DJ Moore","CHI","75.6","1,037.1","7.0","2.3","15.1","0.2","0.9","146.6"
"Amari Cooper","CLE","73.2","1,105.6","6.3","0.0","1.0","0.0","0.9","146.5"
"George Pickens","PIT","70.7","1,089.8","6.1","2.6","16.9","0.0","0.9","145.3"
"Tee Higgins","CIN","70.6","1,012.7","7.3","0.0","1.0","0.0","0.5","144.2"
"Tank Dell","HOU","69.1","943.0","7.0","11.1","61.6","0.2","0.6","141.9"
"Stefon Diggs","HOU","85.0","1,029.4","6.6","1.9","9.1","0.1","1.0","141.8"
"Malik Nabers","NYG","80.6","1,075.7","5.8","0.5","5.0","0.0","1.2","140.7"
"Calvin Ridley","TEN","71.3","975.4","6.9","2.9","14.8","0.0","0.5","139.7"
"Zay Flowers","BAL","79.4","964.7","6.2","7.4","46.3","0.6","1.0","139.7"
"Michael Pittman Jr.","IND","96.5","1,061.6","5.0","0.3","3.0","0.0","1.0","134.7"
"Rashee Rice","KC","78.1","926.2","7.1","1.5","7.0","0.0","1.0","134.0"
"Chris Godwin","TB","83.1","988.0","5.2","2.7","20.9","0.3","0.5","132.8"
"Christian Kirk","JAC","80.9","1,008.3","5.4","1.0","6.4","0.0","1.3","131.5"
"Terry McLaurin","WAS","77.1","1,023.8","4.6","0.3","2.2","0.0","0.5","129.4"
"Jayden Reed","GB","64.2","796.9","5.9","8.9","73.4","1.2","0.6","128.1"
"Diontae Johnson","CAR","72.8","905.7","5.7","1.0","7.2","0.0","0.6","124.6"
"Christian Watson","GB","53.4","775.7","6.9","4.1","24.3","0.3","0.5","122.3"
"Keenan Allen","CHI","79.3","889.8","5.6","1.0","6.3","0.0","1.0","121.2"
"Xavier Worthy","KC","56.6","821.6","5.9","3.7","23.2","0.1","0.8","118.5"
"DeAndre Hopkins","TEN","64.4","848.1","5.7","0.3","2.8","0.0","0.5","118.2"
"Jordan Addison","MIN","64.2","827.1","5.7","0.3","4.0","0.0","0.5","116.2"
"Rome Odunze","CHI","62.2","846.9","5.3","1.0","6.4","0.0","1.1","115.3"
"Courtland Sutton","DEN","63.8","819.7","5.8","0.0","1.2","0.0","1.3","114.6"
"Hollywood Brown","KC","57.9","769.6","6.1","1.9","13.6","0.0","0.4","114.2"
"Brian Thomas Jr.","JAC","63.2","841.6","5.0","0.7","6.0","0.0","1.1","112.6"
"Jameson Williams","DET","53.8","758.6","4.7","4.5","42.0","0.7","0.6","111.6"
"Ladd McConkey","LAC","66.0","821.7","5.0","1.1","6.7","0.0","1.1","111.0"
"Jerry Jeudy","CLE","62.0","849.7","4.3","0.3","5.3","0.0","0.6","110.2"
"Jaxon Smith-Njigba","SEA","72.2","793.7","5.2","0.0","2.0","0.0","0.6","109.5"
"Tyler Lockett","SEA","65.6","757.4","5.1","0.0","1.2","0.0","0.5","105.7"
"Joshua Palmer","LAC","62.1","786.4","4.7","0.3","2.8","0.0","0.9","105.6"
"Curtis Samuel","BUF","61.0","663.0","4.6","11.3","66.7","1.0","0.5","105.5"
"Gabe Davis","JAC","50.0","739.4","5.5","0.3","1.3","0.0","0.9","105.1"
"Mike Williams","NYJ","56.2","753.5","4.8","2.3","9.2","0.0","0.5","104.7"
"Khalil Shakir","BUF","59.3","769.2","4.6","0.3","4.0","0.0","0.2","104.5"
"Brandin Cooks","DAL","56.2","687.6","5.6","3.4","20.5","0.1","0.5","103.7"
"Jakobi Meyers","LV","64.7","729.0","4.6","2.4","15.6","0.3","0.5","102.8"
"Keon Coleman","BUF","55.8","745.4","5.0","1.0","4.8","0.0","1.1","102.7"
"Romeo Doubs","GB","55.9","687.0","5.6","0.0","1.5","0.0","0.5","101.4"
"Rashid Shaheed","NO","50.3","728.3","4.2","4.3","33.2","0.0","0.9","99.6"
"Darnell Mooney","ATL","50.9","706.7","4.1","2.1","12.1","0.1","0.2","96.8"
"DeMario Douglas","NE","60.9","737.1","3.2","8.4","44.1","0.1","0.9","96.2"
"Adam Thielen","CAR","69.2","695.5","4.5","0.3","3.0","0.0","0.6","95.5"
"Dontayvion Wicks","GB","45.6","609.6","4.7","0.3","3.8","0.0","0.5","88.7"
