Player,Projection,Pos,Rank,Team,Bye,POS,CBS,Sleeper,RTSports,AVG,pos_rank,Cluster
Patrick Mahomes II,436.51,QB,13.0,KC,10.0,QB,,13.0,17.0,15.0,1.0,1
Josh Allen,432.535,QB,19.0,BUF,13.0,QB,,18.0,18.0,18.0,2.0,1
Jalen Hurts,422.31999999999994,QB,22.0,PHI,10.0,QB,,22.0,22.0,22.0,3.0,1
Lamar Jackson,392.31000000000006,QB,32.0,BAL,13.0,QB,,30.0,36.0,33.0,5.0,2
Joe Burrow,401.61499999999995,QB,35.0,CIN,7.0,QB,,36.0,34.0,35.0,4.0,2
Justin Fields,366.70500000000004,QB,45.0,CHI,13.0,QB,,47.0,44.0,45.5,7.0,3
Justin Herbert,371.71,QB,41.0,LAC,5.0,QB,,42.0,39.0,40.5,6.0,3
Deshaun Watson,354.00000000000006,QB,81.0,CLE,5.0,QB,,81.0,85.0,83.0,8.0,4
Dak Prescott,349.66999999999996,QB,83.0,DAL,7.0,QB,,87.0,84.0,85.5,11.0,4
Kirk Cousins,350.90999999999997,QB,104.0,MIN,13.0,QB,,110.0,107.0,108.5,10.0,4
Trevor Lawrence,351.8549999999999,QB,56.0,JAC,9.0,QB,,57.0,53.0,55.0,9.0,4
Daniel Jones,343.28999999999996,QB,112.0,NYG,13.0,QB,,139.0,91.0,115.0,13.0,4
Geno Smith,343.40500000000003,QB,117.0,SEA,5.0,QB,,126.0,111.0,118.5,12.0,4
Aaron Rodgers,329.03,QB,99.0,NYJ,7.0,QB,,94.0,109.0,101.5,15.0,5
Russell Wilson,324.495,QB,139.0,DEN,9.0,QB,,153.0,138.0,145.5,17.0,5
Tua Tagovailoa,327.09999999999997,QB,93.0,MIA,10.0,QB,,91.0,97.0,94.0,16.0,5
Jared Goff,329.055,QB,131.0,DET,9.0,QB,,146.0,114.0,130.0,14.0,5
Anthony Richardson,310.14,QB,105.0,IND,11.0,QB,,107.0,110.0,108.5,18.0,6
Derek Carr,301.005,QB,148.0,NO,11.0,QB,,169.0,141.0,155.0,19.0,6
Kenny Pickett,289.07500000000005,QB,155.0,PIT,6.0,QB,,184.0,135.0,159.5,22.0,6
Jordan Love,296.85,QB,164.0,GB,6.0,QB,,168.0,161.0,164.5,20.0,6
Brock Purdy,288.09000000000003,QB,158.0,SF,9.0,QB,,160.0,162.0,161.0,23.0,6
Matthew Stafford,293.34000000000003,QB,173.0,LAR,10.0,QB,,197.0,157.0,177.0,21.0,6
Bryce Young,279.06500000000005,QB,172.0,CAR,7.0,QB,,176.0,175.0,175.5,24.0,7
Jimmy Garoppolo,275.52000000000004,QB,199.0,LV,13.0,QB,,238.0,169.0,203.5,25.0,7
Mac Jones,272.59,QB,233.0,NE,11.0,QB,,,180.0,180.0,26.0,7
C.J. Stroud,266.44000000000005,QB,196.0,HOU,7.0,QB,,213.0,181.0,197.0,27.0,7
Sam Howell,262.96999999999997,QB,185.0,WAS,14.0,QB,,211.0,164.0,187.5,28.0,7
Ryan Tannehill,260.03999999999996,QB,228.0,TEN,7.0,QB,,,171.0,171.0,29.0,7
Christian McCaffrey,273.62,RB,1.0,SF,9.0,RB,,1.0,2.0,1.5,1.0,1
