Your Team,To Infinity and Bijan,Sasquatch Barkley,Bend It Like Beckham,Chark Week,Judge Jeudys,Zay It Ain't So,The Plot Pickens,Multi-Trasking,CRYan Tannehill,No Punt Intended,Fields of Dreams,Positions
Josh Allen, , , ,Jalen Hurts, , , , , , , ,QB0
Christian McCaffrey,Bijan Robinson, , , ,Kyren Williams,Breece Hall, , ,Isiah Pacheco,Jonathan Taylor,Jahmyr Gibbs,RB1
 ,Derrick Henry, , , , ,Travis Etienne Jr., , , , ,Saquon Barkley,RB2
 , ,Ja'Marr Chase,CeeDee Lamb,Tyreek Hill,Justin Jefferson, ,Amon-Ra St. Brown,A.J. Brown,Garrett Wilson,Puka Nacua, ,FLEX3
 , ,Deebo Samuel Sr.,Nico Collins, , , ,Marvin Harrison Jr.,Davante Adams, , , ,FLEX4
 , , , , , , , , , , , ,FLEX5
 , , , , , , , , , , , ,K6
 , , , , , , , , , , , ,BE7
 , , , , , , , , , , , ,BE8
 , , , , , , , , , , , ,BE9
 , , , , , , , , , , , ,BE10
 , , , , , , , , , , , ,BE11
 , , , , , , , , , , , ,BE12
 , , , , , , , , , , , ,BE13
