Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Jalen Hurts,PHI,QB,335.36,64.98,64.98,204.66,Jalen,Hurts,PHI,32.3
Josh Allen,BUF,QB,333.72,63.34,63.34,203.02,Josh,Allen,BUF,19.0
Patrick Mahomes,KC,QB,317.17999999999995,46.8,46.8,186.48,Patrick,Mahomes,KC,37.0
Lamar Jackson,BAL,QB,306.28,35.9,35.9,175.58,Lamar,Jackson,BAL,36.8
Dak Prescott,DAL,QB,291.34,20.96,20.96,160.64,Dak,Prescott,DAL,75.6
Joe Burrow,CIN,QB,284.58000000000004,14.2,14.2,153.88,Joe,Burrow,CIN,62.2
CJ Stroud,HOU,QB,280.38,10.0,10.0,149.68,C.J.,Stroud,HOU,43.7
Jordan Love,GB,QB,276.54,6.16,6.16,145.84,Jordan,Love,GB,83.4
Anthony Richardson,IND,QB,273.52,3.14,3.14,142.82,Anthony,Richardson,IND,55.9
Kyler Murray,ARI,QB,273.8,3.42,3.42,143.1,Kyler,Murray,ARI,73.4
Brock Purdy,SF,QB,278.74,8.36,8.36,148.04,Brock,Purdy,SF,101.4
Jayden Daniels,WAS,QB,266.86,-3.52,-3.52,136.16,Jayden,Daniels,WAS,113.2
Justin Herbert,LAC,QB,272.06,1.68,1.68,141.36,Justin,Herbert,LAC,117.6
Trevor Lawrence,JAX,QB,270.38,0.0,0.0,139.68,Trevor,Lawrence,JAX,123.7
Caleb Williams,CHI,QB,259.70000000000005,-10.68,-10.68,129.0,Caleb,Williams,CHI,90.0
Deshaun Watson,CLE,QB,255.82000000000002,-14.56,-14.56,125.12,Deshaun,Watson,CLE,161.0
Kirk Cousins,ATL,QB,258.08000000000004,-12.3,-12.3,127.38,Kirk,Cousins,ATL,132.5
Baker Mayfield,TB,QB,254.16,-16.22,-16.22,123.46,Baker,Mayfield,TB,157.2
Jared Goff,DET,QB,252.11999999999998,-18.26,-18.26,121.42,Jared,Goff,DET,108.6
Tua Tagovailoa,MIA,QB,242.90000000000003,-27.48,-27.48,112.2,Tua,Tagovailoa,MIA,104.9
